"","country","year","sex","age","suicides_no","population"
"1","Albania",1987,"female","15-24 years",14,289700
"2","Albania",1987,"female","25-34 years",4,257200
"3","Albania",1987,"female","35-54 years",6,278800
"4","Albania",1987,"female","5-14 years",0,311000
"5","Albania",1987,"female","55-74 years",0,144600
"6","Albania",1987,"female","75+ years",1,35600
"7","Albania",1987,"male","15-24 years",21,312900
"8","Albania",1987,"male","25-34 years",9,274300
"9","Albania",1987,"male","35-54 years",16,308000
"10","Albania",1987,"male","5-14 years",0,338200
"11","Albania",1987,"male","55-74 years",1,137500
"12","Albania",1987,"male","75+ years",1,21800
"13","Albania",1988,"female","15-24 years",8,295600
"14","Albania",1988,"female","25-34 years",5,262400
"15","Albania",1988,"female","35-54 years",4,284500
"16","Albania",1988,"female","5-14 years",0,317200
"17","Albania",1988,"female","55-74 years",3,147500
"18","Albania",1988,"female","75+ years",2,36400
"19","Albania",1988,"male","15-24 years",17,319200
"20","Albania",1988,"male","25-34 years",5,279900
"21","Albania",1988,"male","35-54 years",14,314100
"22","Albania",1988,"male","5-14 years",0,345000
"23","Albania",1988,"male","55-74 years",4,140200
"24","Albania",1988,"male","75+ years",1,22300
"25","Albania",1989,"female","15-24 years",5,299900
"26","Albania",1989,"female","25-34 years",2,266300
"27","Albania",1989,"female","35-54 years",7,288600
"28","Albania",1989,"female","5-14 years",0,321900
"29","Albania",1989,"female","55-74 years",1,149600
"30","Albania",1989,"female","75+ years",0,37000
"31","Albania",1989,"male","15-24 years",12,323500
"32","Albania",1989,"male","25-34 years",18,283600
"33","Albania",1989,"male","35-54 years",15,318400
"34","Albania",1989,"male","5-14 years",0,349700
"35","Albania",1989,"male","55-74 years",6,142100
"36","Albania",1989,"male","75+ years",2,22500
"37","Albania",1992,"female","15-24 years",7,292400
"38","Albania",1992,"female","25-34 years",4,267400
"39","Albania",1992,"female","35-54 years",2,323100
"40","Albania",1992,"female","5-14 years",0,336700
"41","Albania",1992,"female","55-74 years",1,164900
"42","Albania",1992,"female","75+ years",0,38700
"43","Albania",1992,"male","15-24 years",9,263700
"44","Albania",1992,"male","25-34 years",7,245500
"45","Albania",1992,"male","35-54 years",12,343800
"46","Albania",1992,"male","5-14 years",0,362900
"47","Albania",1992,"male","55-74 years",5,159500
"48","Albania",1992,"male","75+ years",0,23900
"49","Albania",1993,"female","15-24 years",10,285300
"50","Albania",1993,"female","25-34 years",7,261800
"51","Albania",1993,"female","35-54 years",7,331200
"52","Albania",1993,"female","5-14 years",1,340300
"53","Albania",1993,"female","55-74 years",2,169500
"54","Albania",1993,"female","75+ years",0,39300
"55","Albania",1993,"male","15-24 years",18,243300
"56","Albania",1993,"male","25-34 years",9,230100
"57","Albania",1993,"male","35-54 years",10,350300
"58","Albania",1993,"male","5-14 years",1,367000
"59","Albania",1993,"male","55-74 years",7,165000
"60","Albania",1993,"male","75+ years",1,24200
"61","Albania",1994,"female","15-24 years",6,282600
"62","Albania",1994,"female","25-34 years",4,261100
"63","Albania",1994,"female","35-54 years",2,342500
"64","Albania",1994,"female","5-14 years",0,344400
"65","Albania",1994,"female","55-74 years",1,174600
"66","Albania",1994,"female","75+ years",2,39900
"67","Albania",1994,"male","15-24 years",6,242200
"68","Albania",1994,"male","25-34 years",6,231400
"69","Albania",1994,"male","35-54 years",9,362800
"70","Albania",1994,"male","5-14 years",1,371800
"71","Albania",1994,"male","55-74 years",11,171400
"72","Albania",1994,"male","75+ years",2,24600
"73","Albania",1995,"female","15-24 years",13,283500
"74","Albania",1995,"female","25-34 years",7,264000
"75","Albania",1995,"female","35-54 years",8,356400
"76","Albania",1995,"female","5-14 years",2,348700
"77","Albania",1995,"female","55-74 years",2,180400
"78","Albania",1995,"female","75+ years",2,40800
"79","Albania",1995,"male","15-24 years",11,241200
"80","Albania",1995,"male","25-34 years",13,232900
"81","Albania",1995,"male","35-54 years",14,375900
"82","Albania",1995,"male","5-14 years",6,376500
"83","Albania",1995,"male","55-74 years",9,178000
"84","Albania",1995,"male","75+ years",1,25100
"85","Albania",1996,"female","15-24 years",16,287700
"86","Albania",1996,"female","25-34 years",10,267900
"87","Albania",1996,"female","35-54 years",9,362000
"88","Albania",1996,"female","5-14 years",1,354100
"89","Albania",1996,"female","55-74 years",1,183100
"90","Albania",1996,"female","75+ years",2,41200
"91","Albania",1996,"male","15-24 years",17,243600
"92","Albania",1996,"male","25-34 years",14,235300
"93","Albania",1996,"male","35-54 years",12,379600
"94","Albania",1996,"male","5-14 years",2,380400
"95","Albania",1996,"male","55-74 years",3,179900
"96","Albania",1996,"male","75+ years",2,25400
"97","Albania",1997,"female","15-24 years",21,294000
"98","Albania",1997,"female","25-34 years",16,273900
"99","Albania",1997,"female","35-54 years",7,370100
"100","Albania",1997,"female","5-14 years",6,361800
"101","Albania",1997,"female","55-74 years",0,187000
"102","Albania",1997,"female","75+ years",2,42100
"103","Albania",1997,"male","15-24 years",33,244400
"104","Albania",1997,"male","25-34 years",36,236000
"105","Albania",1997,"male","35-54 years",30,380800
"106","Albania",1997,"male","5-14 years",4,381500
"107","Albania",1997,"male","55-74 years",12,180300
"108","Albania",1997,"male","75+ years",3,25400
"109","Albania",1998,"female","15-24 years",32,295600
"110","Albania",1998,"female","25-34 years",10,275300
"111","Albania",1998,"female","35-54 years",9,372100
